A&A	Astronomy and Astrophysics
SrLJP	Sri Lankan Journal of Physics
StAM	Studies in Applied Mathematics
StAst	Strolling Astronomer
StCMA	Studii si Cercetary de Mecanica Aplicata
StCeF	Studii si Cercetari de Fizica
StCeM	Studii si Cercetari Matematice
StCom	Statistics and Computing
StGG	Studia Geophysica et Geodaetica
StGM	Studia Geotechnica et Mechanica
StGeo	Studies in Geophysics
StHCG	Studies in High Energy Physics Cosmology and Gravitation
StHEP	Studies in High Energy Physics
StHMP	Studies in the History of Mathematics and the Physical Sciences
StMat	Strength of Materials
StMet	Statistical Methodology
StNws	ASTM Standardization News
StReL	Staub Reinhaltung Luft
StSky	Star Sky
StaGP	Starlink General Paper
StaSN	Starlink System Note
StaSc	Statistical Science
StaUN	Starlink User Note
StarB	Starlink Bulletin
StarC	Starlink Cookbook
StarD	StarDate Magazine
StarG	Starlink Guide
Sterb	Der Sternenbote Monatsschrift fuer Oesterreichs Amateur-astronomen
Stern	Die Sterne
Sterz	Sternzeit Mitteilungen der Astrnomischen Vereinigungen Aachen
Stiin	Stiinta
StoAn	Stockholms Observatoriums Annaler
StoOR	Stockholms Observatoriums Reports
StrOp	Structural Optimization
Strab	Strabismus
Strai	Strain
Stroj	Strojarstvo
Sttur	Studies in turbulence
StuMa	Studia Mathematica
SuCT	Surface &amp; Coatings Technology
SuEa	Sustainable Earth
SuMi	Superlattices and Microstructures
SuRvL	Surface Reviews and Letters
SuScT	Superconductor Science Technology
SuTMP	Surface Topography: Metrology and Properties
SunGe	Sun and Geosphere
Sunwo	Sunworld
SurIA	Surface and Interface Analysis
SurSL	Surface Science Letters
SurSR	Surface Science Reports
SurSS	Surface Science Spectra
SurSc	Surface Science
Sust	Sustainability
SvA	Soviet Astronomy
SvAL	Soviet Astronomy Letters
SvAer	Soviet Aeronautics
SvApM	Soviet Applied Mechanics
SvGeo	Soviet Geologia
SvJNP	Soviet Journal of Nuclear Physics
SvJOT	Soviet Journal of Optical Technology
SvJPP	Soviet Journal of Plasma Physics
SvJQE	Soviet Journal of Quantum Electronics
SvPhA	Soviet Physics Astronomy
SvPhJ	Soviet Physics Journal
SvPhU	Soviet Physics Uspekhi
SvPro	Svarochnoe Proizvodstvo
SvRP	Soviet Radiophysics
SvUNT	Sverdlovsk Uralskii Nauchnyi Tsentr AN SSSR
SyTec	Systems Technology
SydOP	Sydney Observatory Papers
Symm	Symmetry
SynMe	Synthetic Metals
TAASS	Topics in Astrophysics, Astrononmy, and Space Science
TAEMm	Tokyo Metropolitan College Aeronautical Engineering Memoirs
TAM	Theoretical and Applied Mechanics
TAMS	Transactions of the American Mathematical Society
TANEs	Tartu Akademiia Nauk Estonskoi SSR
TAOS	Terrestrial, Atmospheric and Oceanic Sciences
TAPS	Transactions of the American Philosophical Society
TApPh	Topics in Applied Physics
TBBM	Techniques of Biochemical and Biophysical Morphology
TCD	The Cryosphere Discussions
TCPh	Topics in Current Physics
TCRR	Tropical Cyclone Research and Review
TCaPS	Transactions of the Cambridge Philosophical Society
TCry	The Cryosphere
TDAPR	Telecommunications and Data Acquisition Progress Report
TDM	2D Materials
TDR	3D Research
TESS	AAS/AGU Triennial Earth-Sun Summit
TETB	Thyssen Edelstahl Technische Berichte
TFFAP	Teoriia Funktsii Funktsionalnyi Analiz i ikh Prilozheniia
TFizG	Teploobmen i Fizicheskaia Gazodinamika
TIFRL	Tata Institute of Fundamental Research Lectures on Mathematics and Physics
TIMC	Transactions of the Institute of Measurement and Control
TIOA	Tomsk Institut Optiki Atmosfery CO AN SSSR
TISCI	Transactions of the Institute of Systems, Control and Information Engineers
TITas	Tsirkulyar Astronomicheskogo Instituta Akademiya Nauk Uzbekskoj SSR
TIUCS	Transactions of the International Union for Cooperation in Solar Research
TIzSS	Tbilisi Izdatel Sabchota Sakartvelo
TJAA	Turkish Journal of Astronomy and Astrophysics
TJAu	Telecommunication Journal of Australia
TJJPT	Tuijin Jishu Journal of Propulsion Technology
TJPh	Turkish Journal of Physics
TJSAI	Transactions of the Japanese Society for Artificial Intelligence
TJSAS	Japan Society of Aeronautical Space Sciences Transactions
TJSIE	Transactions of The Japanese Society of Irrigation, Drainage and Rural Engineering
TLHSQ	Transactions of the Literary and Historical Society of Quebec
TMKF	Technische Mitteilungen Krupp Forschungsberichte
TMOPR	Telecommunications and Mission Operations Progress Report
TMP	Theoretical and Mathematical Physics
TMPGO	Tagung ueber Mathematische Probleme Geodaesie Oberwolfach West Germany Bulleting Geodesique
TMSI	Tribology - Materials, Surfaces & Interfaces
TMatR	Translational Materials Research
TNEK	Teplovye Napriazheniia Elementakh Konstruktsii
TNKS	Tochnost i Nadezhnost Kiberneticheskikh Sistem
TNSAN	Transient Name Server AstroNote
TNSCR	Transient Name Server Classification Report
TNSFR	Transient Name Server Fast Radio Bursts
TNSTR	Transient Name Server Discovery Report
TOMar	Travaux de l'Observatoire de Marseille
TOYal	Transactions of the Astronomical Observatory of Yale University
TPAG	Theory and Practice of Applied Geophysics
TPM	Transport in Porous Media
TPRSV	Transactions and Proceedings of the Royal Society of Victoria
TPhCh	Topics in Physical Chemistry
TPhy	Techniques of Physics
TRACE	Transactions of the Japan Society of Refrigerating and Air Conditioning Engineers
TRET	Telecommunications and Radio Engineering Telecommunications
TSDMO	Tellus Series Dynamic Meteorology and Oceanography
TSE	Thermal Science and Engineering
TSF	Thin Solid Films
TSICE	Transactions of the Society of Instrument and Control Engineers
TSRSG	Tohoku University Science Reports Series Geophysics
TSSLW	Travaux de la Societe des Sciences et des Letters de Wroclaw
TTP	Trends in Theoretical Physics
TTSP	Transport Theory and Statistical Physics
TUAID	Tuebingen Universitaet Astronomisches Institut Diplomarbeit
TUASB	Tokyo University Institute of Space and Aeronautical Science Bulletin
TUASR	Tokyo University Institute of Space and Aeronautical Science Report
TUFEJ	Tokyo University Faculty of Engineering Journal Series
TUFER	Tokyo Denki University Faculty of Engineering Research Reports
TUISR	Tokyo University Institute Industrial Science Report
TUSTI	Tunnelling and Underground Space Technology incorporating Trenchless Technology Research
TUnGG	Technische Univ Geodesy Global Geodyn
TamCo	Astronomical Contributions from the University of South Florida Tampa
TarOT	Tartu Astrofuusika Observatoorium Teated
TeCu	Technology and Culture
TeEng	Technological Engineering,
TeLoA	Technika Lotnicza i Astronautyczna
TeMAE	Terrestrial Magnetism and Atmospheric Electricity
TeMag	Terrestrial Magnetism
TeNov	Terra Nova
TePhL	Technical Physics Letters
TecN	Technical News
TecRv	Technology Review
Tech	Technology
Tecto	Tectonics
Tectp	Tectonophysics
TekEl	Tekhnicheskaia Elektrodinamika
TelIn	Telematics Informatics
Telet	Telettra S
Tell	Tellus
TellA	Tellus Series A
TellB	Tellus Series B Chemical and Physical Meteorology B
TeoEl	Teoreticheskaia Elektrotekhnika
TeoPM	Teoreticheskaia i Prikladnaia Mekhanika
TeoVP	Teoriia Veroiatnostei i ee Primeneniia
TepT	Teplofizika i Teplotekhnika
TepVT	Teplofizika Vysokikh Temperatur
Teplo	Teploenergetika
Tepsg	Teplofizicheskie svoistva gazov
TerCo	Osservatorio Astronomico di Collurania Teramo Contributi
TerMm	Osservatorio Astronomico di Collurania Teramo Memorie ed Osservazioni
TerNC	Osservatorio Astronomico di Collurania Teramo Note e Comunicazioni
Tesla	TESLA Electronics
TexMi	Textures and Microstructures
Th&Ae	Thermophysics and Aeromechanics
ThAFM	Theoretical and Applied Fracture Mechanics
ThApC	Theoretical and Applied Climatology
ThAst	Theoretical Astrophysics
ThCFD	Theoretical and Computational Fluid Dynamics
ThEng	Thermal Engineering
TiEng	Tissue Engineering
ToASC	Torino Accademia delle Scienze Classe di Scienze Fisiche Matematiche e Naturali Atti
ToCat	Topics in Catalysis
ToIzL	Technisch oekonomische Informationen zivilen Luftfahrt
TokAB	Tokyo Astronomical Bulletin
TokRe	Tokyo Astronomical Observatory Reprints
TosRv	Toshiba Review
TouCE	Toulouse Cepadues Editions
TrAGU	Transactions, American Geophysical Union
TrAeR	Transactions on Aerospace Research
TrAlm	Trudy Astrofizicheskogo Instituta Alma-Ata
TrDus	Trudy Instituta Astrofiziki Dushanbe
TrGRC	Geothermal Resources Council Transactions
TrGeo	Treatise on Geochemistry
TrGru	Tiflis Izdatel Metsniereba Akademiia Nauk Gruzinskoi SSR Matematicheskii Institut Trudy
TrITA	Institut Teoreticheskoi Astronomii Trudy
TrKaz	Trudy Kazanskaia Gorodkoj Astronomicheskoj Observatorii
TrKra	Seminar Kraevym Zadacham Trudy
TrLen	Trudy Astronomicheskoj Observatorii Leningrad
TrLit	Trudy Akademiia Nauk Litovskoi
TrMMO	Trudy Moskovskoe Matematicheskoe Obshchestvo
TrOS	Transactions of the Optical Society
TrPet	Trudy Seminar imeni G Petrovskogo
TrPul	Trudy Glavnoj Astronomicheskoj Observatorii v Pulkovo
TrRig	Trudy Astrofiz. Lab. Riga
TrSSR	Trudy Akademiia Nauk SSSR Fizicheskii Institut
TrSht	Trudy Gosudarstvennogo Astronomicheskogo Instituta
TrSpT	Transactions of Space Technology Japan
TrSta	Trudy Instituta Astrofiziki Stalinabad
TrTIM	Tiflis Izdatel Metsniereba Akademiia Nauk Gruzinskoi SSR Institut Geofiziki Trudy
TrTas	Trudy Tashkentskoj Astronomicheskoj Observatorii
TrTsA	TsAGI Trudy
TrTsI	TsIAM Trudy
TraGe	Travaux Geophysiques
TranG	Transportation Geotechnics
TreP	Osservatorio Privato Specola Ariel Treviso Italia Pubblicazione
TriA	Transactions of the Royal Irish Academy
TriL	Tribology Letters
TriP	Osservatorio Astronomico di Trieste Pubblicazioni
TriTr	STLE Tribology Transactions
TsHUJ	Tsing Hua University Journal
TsLvo	Tsirkulyar Astronomicheskoj Observatorii Lvov
TsPul	Tsirkulyary Glavnoj Astronomicheskoj Observatorii i Pulkove
TsShe	Tsirkulyar Shemakhinskoj Astrofizicheskoj Observatorii
TsSta	Tsirkulyar Stalinabadskoj Astronomicheskoj Observatorii
TsTas	Tsirkulyar Tashkentskoj Astronomicheskoj Observatorii
TsVse	Tsirkulyar Vses. astron.-geod. o-va
TurTe	Turbulentnye techeniia
TvOC	Transvaal Observatory Circular
UCAFR	Universitas Comeniana Acta Facultatis Rerum Naturalium Physica
UCLAP	Astronomical Papers University of California Los Angeles
UECBu	University Electro Communications Bulletin
UGC	Nova Acta Regiae Soc. Sci. Upsaliensis Ser. V
UGSJR	U S Geological Survey Journal Research
UISTS	San Diego CA Univelt Inc Science Technology Series
UMAM	Uspekhi Mekhaniki Advances Mechanics
UMIB	Unione Matematica Italiana Bollettino
UMt1K	Universite de Montpellier
UNAer	Universita di Napoli Aeritalia S
UNPSA	United Nations Programme on Space Applications
UOGT	Upstream Oil and Gas Technology
URSB	URSI Radio Science Bulletin
URSL	URSI Radio Science Letters
USGS	U.S. Geological Survey Report
USGSP	U.S. Geological Survey Professional Paper
USNOC	U.S. Naval Observatory Circulars
USNOM	Astronomical and Meteorological Observations made at the U.S. Naval Observatory
USNOO	Observations made at the U.S. Naval Observatory
USOC	Unified System Orbit Computation USOC
UkFiZ	Ukrainskii Fizicheskii Zhurnal
UkJPO	Ukrainian Journal of Physical Optics
UkMJ	Ukranian Mathematical Journal
UkMaZ	Ukrainskii Matematicheskii Zhurnal
UltIm	Ultrasonic Imaging
UltSc	Ultrafast Science
Ultmi	Ultramicroscopy
Ultra	Ultrasonics
Umsch	Umschau
UnECR	University Electro Communications Reports
UncRe	Unconventional Resources
UndSp	Underground Space
UniCl	Universe Classroom
Univ	Universe
Unive	Universitas
UppAn	Uppsala Astronomical Observatory Annals
UppOR	Uppsala Astronomical Observatory Reports
UrBar	Urania (Bracelona)
Urani	Urania (Krakow)
UrbCl	Urban Climate
UsFiN	Uspekhi Fizicheskikh Nauk
UtMat	Utilitas Mathematica
UtrOv	Utrechtse Sterrekundige Overdrukken
VA	Vistas in Astronomy
VAC	Voies Aviation Civile Fall Winter
VADMT	VKI New Approaches in the Description and Modeling of Turbulence
VADVS	VKI Advanced Design of Ventilation Systems
VAFC	VKI Axial Flow Compressors
VAG	Vierteljahresschrift der Astronomischen Gesellschaft
VANTS	Voprosy Atomnoi Nauki i Tekhniki Seriia Fizika Plazmy i Problemy Upravliaemykh Termoiadernykh Reaktsii
VBLT	VKI Boundary Layers in Turbomachines
VCCPP	VKI Combined Cycles for Power Plants
VCFDI	VKI Computational Fluid Dynamics for Industrial Flows
VCGFV	VKI Computer Graphics Flow Visualization and Computational Fluid Dynamics
VDIF	VDI Forschungsheft
VDIZ	VDI Z
VDIZF	VDI Zeitschriften Fortschritt Berichte Reihe Stroemungstechnik
VETT	Voprosy Elektroniki Tverdogo Tela
VGTET	VKI Gas Turbine Engine Transient Behaviour
VIAEA	Vienna International Atomic Energy Agency
VICFD	VKI An Introduction to Computational Fluid Dynamics
VIHE	VKI Industrial Heat Exchangers
VIMT	VKI An Introduction to Modeling Turbulence
VISBD	Vibration Inst Shock Vibration Digest
VJS	Virginia Journal of Science
VKAWA	Verhandelingen der Koninklijke Akademie van Wetenschappen te Amsterdam
VKILV	VKI Laser Velocimetry
VKIMT	VKI Measurement and Techniques
VKIRT	VKI Radial Turbines
VKISP	VKI Spacecraft Propulsion
VKha	Vestnik Khar'kovskogo Universiteta
VKie	Veroeffentlichungen der Universitaets-Sternwarte Kiel
VLSID	VLSI Design
VMATP	VKI Modeling and Applications of Transport Phenomena in Porous Media
VMHT	VKI Methodology Hypersonic Testing
VMKAN	Verslagen en Mededeelingen der Kon. Academie van Wetenschappen, Afd. Natuurkunde
VMOIP	Voprosy Metrologicheskogo Obespecheniia Izmereniia Parametrov Tekhnologicheskikh Lazerov
VMSAI	Video Memorie della Societa Astronomica Italiana
VMTA	VKI Measurement Techniques in Aerodynamics
VMed	Vierteljahrschrift f&uuml;r Gerichtliche Medizin und &Ouml;ffentliches Sanit&auml;tswesen
VNG	Vierteljahrsschrift der Naturforschenden Gesellschaft in Z&uuml;rich
VNGG	VKI Numerical Grid Generation
VNMFT	VKI Numerical Methods for Flows in Turbomachinery
VPIDV	VKI Particle Image Displacement Velocimetry
VSD	Vehicle System Dynamics, International Journal of Vehicle Mechanics and Mobility
VSSCi	Royal Astronomical Society of New Zealand Variable Star Section Circulars
VTGUM	Vestnik Tomskogo Gosudarstvennogo Universiteta Matematika i Mekhanika
VTJ	Vitro Technical Journal
VTSAU	Voprosy Teorii Sistem Avtomaticheskogo Upravleniia
VTSF	VKI Turbulent Shear Flows
VVRD	VKI Vibration Rotor Dynamics
Vacuu	Vacuum
Vasio	Vasiona
VatAR	Specola Astronomica Vaticana Annual Reports
VatCo	Specola Astronomica Vaticana Comunicazione
VatMA	Specola Astronomica Vaticana Miscellanea Astronomica
VatOP	Vatican Observatory Publications
VatPS	Specola Astronomica Vaticana Pubblicazioni Serie Seconda
VatRA	Specola Astronomica Vaticana Richerche Astronomiche
VatRS	Specola Astronomica Vaticana Ricerche Spettroscopiche
VeABD	Veroeffentlichungen des Astronomischen Rechen-Instituts zu Berlin-Dahlem
VeARI	Veroeffentlichungen des Astronomischen Rechen-Instituts Heidelberg
VeBB	Veroeffentlichungen der Universitaetssternwarte zu Berlin-Babelsberg
VeBKI	Veroeffentlichungen des Bayerische Kommission Int. Erdmessung
VeBab	Veroeffentlichungen der Sternwarte Babelsberg
VeBam	Veroeffentlichungen der Remeis-Sternwarte zu Bamberg
VeBoc	Veroeffentlichungen des Astronomischen Instituts der Ruhr-Universitaet Bochum
VeBon	Veroeffentlichungen des Astronomisches Institute der Universitaet Bonn
VeFra	Veroeffentlichungen des Astronomisches Institute der Universitaet Frankfurt
VeGG	Veroeffentlichungen der Geod. Geophys
VeGoe	Veroeffentlichungen der Universitaets-Sternwarte zu Goettingen
VeHei	Veroeffentlichungen der Badischen Sternwarte zu Heidelberg
VeJen	Veroeffentlichungen der Universitaets-Sternwarte zu Jena
VeKAB	Veroeffentlichungen des Koeniglichen Astronomischen Rechen-Instituts zu Berlin
VeKar	Veroeffentlichungen der Grossherzoglichen Sternwarte zu Karlsruhe
VeKaz	Akademiia Nauk Kazakhskoi SSR Vestnik
VeKha	Vestnik Khar'kov Universitet
VeKie	Vestnik Kievskogo Universiteta Seriya Astronomii
VeKoe	Veroeffentlichungen der Universitaets-Sternwarte Koenigsberg Pr.
VeLGU	Vestnik LGU
VeLdn	Verslag van den staat der Sterrewacht te Leiden
VeLei	Veroeffentlichungen der Universitaetssternwarte zu Leipzig
VeLen	Leningradskii Universitet Vestnik Matematika Mekhanika Astronomiia
VeMos	Vestnik Moskovskogo Universiteta Seriya 3 Fizika Astronomiya
VeMun	Veroeffentlichungen der Sternwarte Munchen
VeNav	Akademiia Navuk BSSR Vestsi Seryia Fizika Tekhnichnykh Navuk
VeSSR	Akademiia Nauk SSSR Vestnik
VeSon	Veroeffentlichungen der Sternwarte Sonneberg
VeWFS	Veroeffentlichung der Wilhelm Foerster Sterwarte
VeZPE	Veroffentlichungen des Zentralinstituts Physik der Erde
Verme	Vermessungstechnik
Vert	Vertica
Vertf	Vertiflite
Vesmi	Vesmir
ViGeo	Vissha Geodeziia
ViHei	Veroeffentlichungen der Badischen Landes-Sternwarte zu Heidelberg
ViUkr	Akademiia Nauk Ukrains koi RSR Visnik
VilCo	Villanova University Observatory Contributions
VilOB	Vilnius Astronomijos Observatorijos Biuletenis
VisKi	Visnik Kiiv. Univ., Fiz.-Mat. Nauki, Astron
VnMP	Vychislitelnye Metody i Programmirovanie
VnPM	Vychislitelnaia i Prikladnaia Matematika
VoTAS	Voprosy Teorii Atomnykh Stolknovenii
VopDP	Voprosy Dinamiki i Prochnosti
VopGA	Voprosy Gidrodinamiki Atmosfery
VopK	Voprosy Kibernetiki
VopTP	Voprosy Teorii Plazmy
VossZ	Vossische Zeitung
W&S	Waerme und Stoffuebertragung
WASP	Water Air and Soil Pollution
WBWA	Weltraumfahrt. Beitraege zur Weltraumforschung und Astronautik
WCD	Weather and Climate Dynamics
WCE	Weather and Climate Extremes
WCRp	World Climate Report
WCS	Weather, Climate and Society
WFINw	IAU Working Group on Wide-Field Imaging, Newsletter
WJCMP	World Journal of Condensed Matter Physics
WJM	World Journal of Mechanics
WJNSE	World Journal of Nano Science and Engineering
WJNST	World Journal of Nuclear Science and Technology
WRCM	Waves in Random and Complex Media
WRM	Waves in Random Media
WRR	Water Resources Research
WSAA	Wiley Praxis Series in Astronomy and Astrophysics
WSAAA	Workshop Series of the Asociacion Argentina de Astronomia
WSAPC	Wiley Praxis Series in Atmospheric Physics and Climatology
WSBPA	Wiley Series in Beam Physics and Accelerator Technology
WSGeo	Wiley Praxis Series in Geophysics
WSICP	Wiley Series in Ion Chemistry and Physics
WSPP	Wiley Series in Plasma Physics
WaMan	Waste Management
WaMot	Wave Motion
WatRe	Water Research
